INS,COMMUNE,LAT,LONG,CODPOSS
62118,GRACE-HOLLOGNE,50.63333333,5.5,4460
25037,GREZ-DOICEAU,50.73333333,4.683333333,1390
23025,GRIMBERGEN,50.93333333,4.366666667,1850
13010,GROBBENDONK,51.18333333,4.733333333,2280
24033,HAACHT,50.96666667,4.633333333,3150
41024,HAALTERT,51,4,9450
85046,HABAY,49.71666667,5.65,6720
71020,HALEN,50.93333333,5.1,3545
23027,HALLE,50.73333333,4.233333333,1500
71069,HAM,51.1,5.166666667,3945
56086,HAM-SUR-HEURE-NALINNES,50.31666667,4.383333333,6120
42008,HAMME,51.08333333,4.133333333,9220
61024,HAMOIR,50.41666667,5.533333333,4180
91059,HAMOIS,50.33333333,5.15,5360
72037,HAMONT-ACHEL,51.25,5.533333333,3930
64034,HANNUT,50.66666667,5.066666667,4280
34013,HARELBEKE,50.85,3.3,8530
71022,HASSELT,50.91666667,5.333333333,3500
91142,HASTIERE,50.21666667,4.816666667,5540
91064,HAVELANGE,50.38333333,5.233333333,5370
72038,HECHTEL-EKSEL,51.11666667,5.35,3940
73022,HEERS,50.75,5.3,3870
12014,HEIST-OP-DEN-BERG,51.06666667,4.716666667,2220
25118,HELECINE,50.75,4.983333333,1357
11018,HEMIKSEM,51.13333333,4.333333333,2620
53039,HENSIES,50.43333333,3.666666667,7350
84029,HERBEUMONT,49.76666667,5.233333333,6887
24038,HERENT,50.9,4.666666667,3020
13011,HERENTALS,51.16666667,4.833333333,2200
13012,HERENTHOUT,51.13333333,4.75,2270
71024,HERK-DE-STAD,50.93333333,5.166666667,3540
23032,HERNE,50.71666667,4.016666667,1540
61028,HERON,50.55,5.083333333,4217
13013,HERSELT,51.05,4.866666667,2230
62051,HERSTAL,50.65,5.616666667,4040
73028,HERSTAPPE,50.71666667,5.416666667,3717
63035,HERVE,50.63333333,5.783333333,4650
41027,HERZELE,50.88333333,3.883333333,9550
71070,HEUSDEN-ZOLDER,51.03333333,5.266666667,3550
33039,HEUVELLAND,50.78333333,2.816666667,8950
24041,HOEGAARDEN,50.76666667,4.883333333,3320
23033,HOEILAART,50.76666667,4.466666667,1560
73032,HOESELT,50.85,5.483333333,3730
24043,HOLSBEEK,50.91666667,4.75,3220
53083,HONNELLES,50.33333333,3.733333333,7387
36006,HOOGLEDE,50.96666667,3.066666667,8830
13014,HOOGSTRATEN,51.4,4.75,2320
45062,HOREBEKE,50.83333333,3.683333333,9667
83028,HOTTON,50.26666667,5.433333333,6990
82014,HOUFFALIZE,50.13333333,5.783333333,6660
72039,HOUTHALEN-HELCHTEREN,51.01666667,5.366666667,3530
32006,HOUTHULST,50.96666667,2.95,8650
91072,HOUYET,50.18333333,5,5560
11021,HOVE,51.15,4.466666667,2540
24045,HULDENBERG,50.78333333,4.583333333,3040
13016,HULSHOUT,51.06666667,4.783333333,2235
61031,HUY,50.51666667,5.233333333,4500
35006,ICHTEGEM,51.08333333,3,8480
33011,IEPER,50.85,2.883333333,8900
25043,INCOURT,50.68333333,4.8,1315
36007,INGELMUNSTER,50.91666667,3.25,8770
25044,ITTRE,50.65,4.25,1460
36008,IZEGEM,50.91666667,3.2,8870
31012,JABBEKE,51.18333333,3.083333333,8490
63038,JALHAY,50.55,5.95,4845
92140,JEMEPPE-SUR-SAMBRE,50.46666667,4.666666667,5190
21010,JETTE,50.86666667,4.333333333,1090
25048,JODOIGNE,51,4.866666667,1370
62060,JUPRELLE,50.7,5.516666667,4450
53044,JURBISE,50.53333333,3.9,7050
11022,KALMTHOUT,51.38333333,4.466666667,2920
23038,KAMPENHOUT,50.93333333,4.55,1910
23039,KAPELLE-OP-DEN-BOS,51,4.35,1880
11023,KAPELLEN,51.3,4.416666667,2950
43007,KAPRIJKE,51.21666667,3.616666667,9970
13017,KASTERLEE,51.23333333,4.966666667,2460
24048,KEERBERGEN,51,4.616666667,3140
63040,KELMIS,50.71666667,6,4720
72018,KINROOI,51.13333333,5.733333333,3640
45060,KLUISBERGEN,50.76666667,3.483333333,9690
44029,KNESSELARE,51.13333333,3.4,9910
31043,KNOKKE-HEIST,51.33333333,3.283333333,8300
32010,KOEKELARE,51.08333333,2.966666667,8680
21011,KOEKELBERG,50.85,4.316666667,1081
38014,KOKSIJDE,51.11666667,2.633333333,8670
11024,KONTICH,51.13333333,4.433333333,2550
32011,KORTEMARK,51.01666667,3.033333333,8610
24054,KORTENAKEN,50.9,5.05,3470
24055,KORTENBERG,50.88333333,4.533333333,3070
73040,KORTESSEM,50.85,5.383333333,3720
34022,KORTRIJK,50.81666667,3.266666667,8500
23099,KRAAINEM,50.85,4.466666667,1950
46013,KRUIBEKE,51.16666667,4.3,9150
45017,KRUISHOUTEM,50.9,3.516666667,9770
34023,KUURNE,50.85,3.283333333,8520
92141,LA BRUYERE,50.55,4.8,5080
25050,LA HULPE,50.71666667,4.483333333,1310
55022,LA LOUVIERE,50.46666667,4.183333333,7100
83031,LA ROCHE-EN-ARDENNE,50.18333333,5.566666667,6980
13053,LAAKDAL,51.06666667,5.016666667,2430
42010,LAARNE,51.01666667,3.85,9270
73042,LANAKEN,50.88333333,5.65,3620
24059,LANDEN,50.75,5.066666667,3400
33040,LANGEMARK-POELKAPELLE,50.9,2.916666667,8920
25119,LASNE,50.68333333,4.483333333,1380
55035,LE ROEULX,50.5,4.1,7070
42011,LEBBEKE,51,4.116666667,9280
41034,LEDE,50.96666667,3.966666667,9340
36010,LEDEGEM,50.85,3.116666667,8880
84033,LEGLISE,49.8,5.533333333,6860
34025,LENDELEDE,50.88333333,3.233333333,8860
23104,LENNIK,50.8,4.15,1750
53046,LENS,50.55,3.9,7870
71034,LEOPOLDSBURG,51.11666667,5.25,3970
52075,LES BONS VILLERS,50.53333333,4.433333333,6210
55023,LESSINES,50.7,3.816666667,7860
24062,LEUVEN,50.86666667,4.7,3000
57094,LEUZE-EN-HAINAUT,50.6,3.616666667,7900
84035,LIBIN,49.96666667,5.25,6890
84077,LIBRAMONT-CHEVIGNY,49.91666667,5.366666667,6800
36011,LICHTERVELDE,51.01666667,3.133333333,8810
23044,LIEDEKERKE,50.86666667,4.083333333,1770
62063,LIEGE,50.63333333,5.566666667,4000
12021,LIER,51.11666667,4.566666667,2500
45063,LIERDE,50.81666667,3.833333333,9570
63045,LIERNEUX,50.28333333,5.783333333,4990
13019,LILLE,51.23333333,4.816666667,2275
63046,LIMBOURG,50.61666667,5.933333333,4830
64047,LINCENT,50.7,5.016666667,4287
23100,LINKEBEEK,50.76666667,4.333333333,1630
11025,LINT,51.11666667,4.483333333,2547
24133,LINTER,50.83333333,5.033333333,3350
32030,LO-RENINGE,50.96666667,2.75,8647
56044,LOBBES,50.33333333,4.266666667,6540
44034,LOCHRISTI,51.08333333,3.833333333,9080
46014,LOKEREN,51.1,3.983333333,9160
72020,LOMMEL,51.21666667,5.3,3920
23045,LONDERZEEL,51,4.3,1840
63048,LONTZEN,50.66666667,6,4710
44036,LOVENDEGEM,51.08333333,3.6,9920
24066,LUBBEEK,50.86666667,4.833333333,3210
71037,LUMMEN,50.98333333,5.183333333,3560
45064,MAARKEDAL,50.81666667,3.65,9680
72021,MAASEIK,51.08333333,5.783333333,3680
73107,MAASMECHELEN,50.96666667,5.683333333,3630
23047,MACHELEN,50.9,4.433333333,1830
43010,MALDEGEM,51.2,3.433333333,9990
11057,MALLE,51.28333333,4.683333333,2390
63049,MALMEDY,50.41666667,6.016666667,4960
52043,MANAGE,50.5,4.233333333,7170
83055,MANHAY,50.28333333,5.666666667,6960
83034,MARCHE-EN-FAMENNE,50.21666667,5.333333333,6900
61039,MARCHIN,50.45,5.233333333,4570
81013,MARTELANGE,49.81666667,5.733333333,6630
12025,MECHELEN,51.01666667,4.466666667,2800
13021,MEERHOUT,51.11666667,5.066666667,2450
72040,MEEUWEN-GRUITRODE,51.08333333,5.516666667,3670
23050,MEISE,50.93333333,4.316666667,1860
85024,MEIX-DEVANT-VIRTON,49.6,5.466666667,6769
44040,MELLE,51,3.8,9090
34027,MENEN,50.78333333,3.116666667,8930
56049,MERBES-LE-CHATEAU,50.31666667,4.15,6567
23052,MERCHTEM,50.95,4.233333333,1785
44043,MERELBEKE,50.98333333,3.733333333,9820
13023,MERKSPLAS,51.35,4.85,2330
33016,MESEN,50.75,2.9,8957
81015,MESSANCY,49.58333333,5.816666667,6780
92087,METTET,50.31666667,4.65,5640
37007,MEULEBEKE,50.95,3.283333333,8760
35011,MIDDELKERKE,51.18333333,2.816666667,8430
